Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
Linear TV Regional 4 Seven NetworkP18+Other,P18+,Other,Linear TV Regional 4 Seven Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Regional 4 Nine NetworkP18+Other,P18+,Other,Linear TV Regional 4 Nine Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Regional 4 Ten NetworkP18+Other,P18+,Other,Linear TV Regional 4 Ten Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Regional 4 SBS NetworkP18+Other,P18+,Other,Linear TV Regional 4 SBS Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Foxtel LinearP18+Other,P18+,Other,Foxtel Linear,0.638871858,0.830369916,0.241978336,0.337829552,0.337829552,0.293684856,0.269364398,0.254445126,0.241978336,0.222154098,0.200081749,0.179848764,0.169834457,0.156958921,1,0.968322093,0.892295115,0.858164725,0.830369916,0.78397711,0.738401798,0.69527897,0.669323523,0.638871858
YouTube Instant ReserveP18+Other,P18+,Other,YouTube Instant Reserve,0.394668703,0.789170545,0.382926397,0.622482248,0.622482248,0.57166737,0.486370969,0.433741275,0.382926397,0.343000422,0.303074447,0.284926277,0.234111399,0.19055579,1,1,1,0.89150907,0.789170545,0.715556031,0.649868232,0.570288019,0.446151028,0.394668703
YouTube SelectP18+Other,P18+,Other,YouTube Select,0.394668703,0.789170545,0.382926397,0.622482248,0.622482248,0.57166737,0.486370969,0.433741275,0.382926397,0.343000422,0.303074447,0.284926277,0.234111399,0.19055579,1,1,1,0.89150907,0.789170545,0.715556031,0.649868232,0.570288019,0.446151028,0.394668703
YouTube OMG Line UpsP18+Other,P18+,Other,YouTube OMG Line Ups,0.394668703,0.789170545,0.382926397,0.622482248,0.622482248,0.57166737,0.486370969,0.433741275,0.382926397,0.343000422,0.303074447,0.284926277,0.234111399,0.19055579,1,1,1,0.89150907,0.789170545,0.715556031,0.649868232,0.570288019,0.446151028,0.394668703
Nine NowP18+Other,P18+,Other,Nine Now,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Ten PlayP18+Other,P18+,Other,Ten Play,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Seven PlusP18+Other,P18+,Other,Seven Plus,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
SBS On DemandP18+Other,P18+,Other,SBS On Demand,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
KayoP18+Other,P18+,Other,Kayo,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Foxtel GoP18+Other,P18+,Other,Foxtel Go,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
BingeP18+Other,P18+,Other,Binge,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
