Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential 
P18+,Ten Play,3 Weeks,oneplus,0,P18+Ten Play3 Weeksoneplus0,862327.2537,8896.841379,-0.835168363,20600000
P18+,Seven Plus,3 Weeks,oneplus,0,P18+Seven Plus3 Weeksoneplus0,1389410.272,38870.11,-0.84,20600000
P18+,SBS On Demand,3 Weeks,oneplus,0,P18+SBS On Demand3 Weeksoneplus0,1200724.926,34983.1,-0.84,20600000
P18+,Kayo,3 Weeks,oneplus,0,P18+Kayo3 Weeksoneplus0,2811411.644,39647.51,-0.84,20600000
P18+,Foxtel Go,3 Weeks,oneplus,0,P18+Foxtel Go3 Weeksoneplus0,1295067.599,38870.11,-0.84,20600000
P18+,Binge,3 Weeks,oneplus,0,P18+Binge3 Weeksoneplus0,548817.052,46644.13,-0.84,20600000
P18+,Netflix,3 Weeks,oneplus,0,P18+Netflix3 Weeksoneplus0,857660.6505,38870.11,-0.82,20600000
P18+,Optus Sport,3 Weeks,oneplus,0,P18+Optus Sport3 Weeksoneplus0,857660.6505,38870.11,-0.9,20600000
P18+,Amazon Prime,3 Weeks,oneplus,0,P18+Amazon Prime3 Weeksoneplus0,3467563.863,38870.11,-0.8,20600000
P25-54,Linear TV Metro & Regional,3 Weeks,oneplus,0,P25-54Linear TV Metro & Regional3 Weeksoneplus0,7768958.166,728.28,-0.53,10700000
P25-54,Linear TV Metro,3 Weeks,oneplus,0,P25-54Linear TV Metro3 Weeksoneplus0,5433616.179,772.42,-0.53,10700000
P25-54,Linear TV Regional,3 Weeks,oneplus,0,P25-54Linear TV Regional3 Weeksoneplus0,2335341.978,706.21,-0.53,10700000
P25-54,Linear TV Metro 5 Cap Seven Network,3 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Seven Network3 Weeksoneplus0,3379905.243,772.42,-0.53,10700000
P25-54,Linear TV Metro 5 Cap Nine Network,3 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Nine Network3 Weeksoneplus0,3531850.515,772.42,-0.53,10700000
