Platform,Duration,Demographic,Key,CPM
Nine Now,30Sec,P18-64,Nine NowP18-64,60
Ten Play,30Sec,P18-64,Ten PlayP18-64,50
Seven Plus,30Sec,P18-64,Seven PlusP18-64,51
SBS On Demand,30Sec,P18-64,SBS On DemandP18-64,49
Kayo,30Sec,P18-64,KayoP18-64,50
Foxtel Go,30Sec,P18-64,Foxtel GoP18-64,40
Binge,30Sec,P18-64,BingeP18-64,55
Netflix,30Sec,P18-64,NetflixP18-64,40
Optus Sport,30Sec,P18-64,Optus SportP18-64,40
Amazon Prime,30Sec,P18-64,Amazon PrimeP18-64,40
Linear TV Metro & Regional,15Sec,P18-64,Linear TV Metro & RegionalP18-64,14.6
Linear TV Metro,15Sec,P18-64,Linear TV MetroP18-64,15.2
Linear TV Regional,15Sec,P18-64,Linear TV RegionalP18-64,12.7
Linear TV Metro 5 Cap Seven Network,15Sec,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,15.2
Linear TV Metro 5 Cap Nine Network,15Sec,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,15.2
Linear TV Metro 5 Cap Ten Network,15Sec,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,15.2
Linear TV Metro 5 Cap SBS Network,15Sec,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,15.2
Linear TV Regional 4 Seven Network,15Sec,P18-64,Linear TV Regional 4 Seven NetworkP18-64,12.7
Linear TV Regional 4 Nine Network,15Sec,P18-64,Linear TV Regional 4 Nine NetworkP18-64,12.7
Linear TV Regional 4 Ten Network,15Sec,P18-64,Linear TV Regional 4 Ten NetworkP18-64,12.7
Linear TV Regional 4 SBS Network,15Sec,P18-64,Linear TV Regional 4 SBS NetworkP18-64,12.7
Foxtel Linear,15Sec,P18-64,Foxtel LinearP18-64,9
YouTube Select,15Sec,P18-64,YouTube SelectP18-64,23.7
Nine Now,15Sec,P18-64,Nine NowP18-64,48
Ten Play,15Sec,P18-64,Ten PlayP18-64,40
Seven Plus,15Sec,P18-64,Seven PlusP18-64,40.8
SBS On Demand,15Sec,P18-64,SBS On DemandP18-64,39.2
Kayo,15Sec,P18-64,KayoP18-64,40
Foxtel Go,15Sec,P18-64,Foxtel GoP18-64,32
Binge,15Sec,P18-64,BingeP18-64,44
Netflix,15Sec,P18-64,NetflixP18-64,32
Optus Sport,15Sec,P18-64,Optus SportP18-64,32
Amazon Prime,15Sec,P18-64,Amazon PrimeP18-64,32
Linear TV Metro & Regional,Other,P18-64,Linear TV Metro & RegionalP18-64,14.6
Linear TV Metro,Other,P18-64,Linear TV MetroP18-64,15.2
Linear TV Regional,Other,P18-64,Linear TV RegionalP18-64,12.7
Linear TV Metro 5 Cap Seven Network,Other,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,15.2
Linear TV Metro 5 Cap Nine Network,Other,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,15.2
Linear TV Metro 5 Cap Ten Network,Other,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,15.2
Linear TV Metro 5 Cap SBS Network,Other,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,15.2
Linear TV Regional 4 Seven Network,Other,P18-64,Linear TV Regional 4 Seven NetworkP18-64,12.7
Linear TV Regional 4 Nine Network,Other,P18-64,Linear TV Regional 4 Nine NetworkP18-64,12.7
Linear TV Regional 4 Ten Network,Other,P18-64,Linear TV Regional 4 Ten NetworkP18-64,12.7
Linear TV Regional 4 SBS Network,Other,P18-64,Linear TV Regional 4 SBS NetworkP18-64,12.7
Foxtel Linear,Other,P18-64,Foxtel LinearP18-64,9
YouTube Select,Other,P18-64,YouTube SelectP18-64,23.7
Nine Now,Other,P18-64,Nine NowP18-64,48
Ten Play,Other,P18-64,Ten PlayP18-64,40
Seven Plus,Other,P18-64,Seven PlusP18-64,40.8
SBS On Demand,Other,P18-64,SBS On DemandP18-64,39.2
Kayo,Other,P18-64,KayoP18-64,40
Foxtel Go,Other,P18-64,Foxtel GoP18-64,32
Binge,Other,P18-64,BingeP18-64,44
Netflix,Other,P18-64,NetflixP18-64,32
Optus Sport,Other,P18-64,Optus SportP18-64,32
Amazon Prime,Other,P18-64,Amazon PrimeP18-64,32
