Platform,Duration,Demographic,Key,CPM
Linear TV Metro 5 Cap Ten Network,Other,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,29
Linear TV Metro 5 Cap SBS Network,Other,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,29
Linear TV Regional 4 Seven Network,Other,P18-64,Linear TV Regional 4 Seven NetworkP18-64,25
Linear TV Regional 4 Nine Network,Other,P18-64,Linear TV Regional 4 Nine NetworkP18-64,25
Linear TV Regional 4 Ten Network,Other,P18-64,Linear TV Regional 4 Ten NetworkP18-64,25
Linear TV Regional 4 SBS Network,Other,P18-64,Linear TV Regional 4 SBS NetworkP18-64,25
Foxtel Linear,Other,P18-64,Foxtel LinearP18-64,17
YouTube TrueView,Other,P18-64,YouTube TrueViewP18-64,25
YouTube Instant Reserve,Other,P18-64,YouTube Instant ReserveP18-64,35
YouTube Select,Other,P18-64,YouTube SelectP18-64,30
YouTube OMG Select,Other,P18-64,YouTube OMG SelectP18-64,40
Nine Now,Other,P18-64,Nine NowP18-64,28
Ten Play,Other,P18-64,Ten PlayP18-64,28
Seven Plus,Other,P18-64,Seven PlusP18-64,31
SBS On Demand,Other,P18-64,SBS On DemandP18-64,44
Kayo,Other,P18-64,KayoP18-64,33
Foxtel Go,Other,P18-64,Foxtel GoP18-64,25
Binge,Other,P18-64,BingeP18-64,36
Netflix,Other,P18-64,NetflixP18-64,36
Optus Sport,Other,P18-64,Optus SportP18-64,34
Amazon Prime,Other,P18-64,Amazon PrimeP18-64,37
