Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Passive 1 Sec,Passive 2 Sec,Passive 3 Sec,Passive 4 Sec,Passive 5 Sec,Passive 6 Sec,Passive 7 Sec,Passive 8 Sec,Passive 9 Sec,Passive 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
YouTube SelectP18+30sec,P18+,30sec,YouTube Select,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
YouTube OMG SelectP18+30sec,P18+,30sec,YouTube OMG Select,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
Nine NowP18+30sec,P18+,30sec,Nine Now,0.7,0.83,0.82,1,84.64880628,82.46194066,80.01310765,77.82394675,75.51020982,73.86461594,72.929676,71.77245026,70.02266638,68.88352164,52.36356682,47.32288838,42.48650242,38.47260573,36.9815084,32.92265727,30.08111962,27.48483362,25.11263174,22.94517338,62.59344737,69.47866168,74.98245147,75.70329883,77.35274825,80.3675619,80.50464,82.6116843,76.78168004,77.45963154
Ten PlayP18+30sec,P18+,30sec,Ten Play,0.7,0.83,0.82,1,84.64880628,82.46194066,80.01310765,77.82394675,75.51020982,73.86461594,72.929676,71.77245026,70.02266638,68.88352164,52.36356682,47.32288838,42.48650242,38.47260573,36.9815084,32.92265727,30.08111962,27.48483362,25.11263174,22.94517338,62.59344737,69.47866168,74.98245147,75.70329883,77.35274825,80.3675619,80.50464,82.6116843,76.78168004,77.45963154
Seven PlusP18+30sec,P18+,30sec,Seven Plus,0.7,0.83,0.82,1,84.64880628,82.46194066,80.01310765,77.82394675,75.51020982,73.86461594,72.929676,71.77245026,70.02266638,68.88352164,52.36356682,47.32288838,42.48650242,38.47260573,36.9815084,32.92265727,30.08111962,27.48483362,25.11263174,22.94517338,62.59344737,69.47866168,74.98245147,75.70329883,77.35274825,80.3675619,80.50464,82.6116843,76.78168004,77.45963154
SBS On DemandP18+30sec,P18+,30sec,SBS On Demand,0.7,0.83,0.82,1,84.64880628,82.46194066,80.01310765,77.82394675,75.51020982,73.86461594,72.929676,71.77245026,70.02266638,68.88352164,52.36356682,47.32288838,42.48650242,38.47260573,36.9815084,32.92265727,30.08111962,27.48483362,25.11263174,22.94517338,62.59344737,69.47866168,74.98245147,75.70329883,77.35274825,80.3675619,80.50464,82.6116843,76.78168004,77.45963154
KayoP18+30sec,P18+,30sec,Kayo,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
Foxtel GoP18+30sec,P18+,30sec,Foxtel Go,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
BingeP18+30sec,P18+,30sec,Binge,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
NetflixP18+30sec,P18+,30sec,Netflix,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
Optus SportP18+30sec,P18+,30sec,Optus Sport,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
Amazon PrimeP18+30sec,P18+,30sec,Amazon Prime,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
Samsung In-StreamP18+30sec,P18+,30sec,Samsung In-Stream,0.7,0.83,0.82,1,72.68123963,70.02764203,67.1791139,64.52454744,62.67028294,61.4260771,59.65064341,54.84889599,54.33127676,53.98417925,60.28963629,54.97847605,50.11475161,50.902786,48.9546392,45.47642498,42.25556021,37.84516575,34.53437449,32.59883481,53.6329153,57.51481462,61.55175858,62.75480043,66.05998051,69.46732216,71.07229302,72.1991912,72.77819645,72.98813358
